Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
447,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1228,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98681.5000000000,93708.0625000000,98596,28716480,325872
448,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1233,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35496
449,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,673,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.3125000000,0.0000000000,628,177216,25852
450,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,673,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,668.2500000000,0.0000000000,628,159120,24756
451,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1239,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98673.6875000000,93713.0625000000,98596,28716480,325108
452,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1244,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36044
453,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,679,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.7500000000,0.0000000000,628,177216,26441
454,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,679,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,670.0625000000,0.0000000000,628,159120,25692
455,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1250,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98684.9375000000,93724.3125000000,98596,28716480,328089
456,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1255,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35433
457,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,685,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,652.0625000000,0.0000000000,628,177216,25537
458,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,685,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,675.2500000000,0.0000000000,628,159120,25009
459,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1261,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98682.5625000000,93728.0625000000,98596,28716480,325091
460,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1266,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35984
461,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,691,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,646.5000000000,0.0000000000,628,177216,26188
462,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,691,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,673.5000000000,0.0000000000,628,159120,26444
463,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1272,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98676.4375000000,93726.3750000000,98596,28716480,322436
464,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1277,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36644
465,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,697,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.0000000000,0.0000000000,628,177216,26452
466,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,697,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,670.6875000000,0.0000000000,628,159120,24533
467,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1283,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98676.2500000000,93705.4375000000,98596,28716480,325949
468,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1288,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36485
469,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,703,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,652.4375000000,0.0000000000,628,177216,26200
470,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,703,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,675.2500000000,0.0000000000,628,159120,25176
471,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1294,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98686.4375000000,93712.6250000000,98596,28716480,327280
472,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1299,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,37128
473,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,709,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.0000000000,0.0000000000,628,177216,26108
474,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,709,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,669.0625000000,0.0000000000,628,159120,25183
475,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1305,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98671.6875000000,93702.6875000000,98596,28716480,328436
476,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1310,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35420
477,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,715,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.7500000000,0.0000000000,628,177216,25777
478,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,715,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,667.8750000000,0.0000000000,628,159120,25336
479,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1316,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98677.9375000000,93708.2500000000,98596,28716480,325753
480,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1321,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36377
481,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,721,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.2500000000,0.0000000000,628,177216,25228
