Version,MemoryType,BlockFactor,Coarsening,Workload,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p28k1,54168.082,48382.384
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p29k1,58693.418,51488.087
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p30k1,66038.997,59121.632
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p31k1,70854.639,63237.252
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p32k1,80048.741,72238.790
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p33k1,84649.533,76449.051
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p34k1,96155.848,86046.505
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p35k1,106568.221,95151.605
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p36k1,111457.102,98958.103
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p37k1,121237.499,107683.152
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p38k1,129006.946,117795.701
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p11k1,2453.118,1213.027
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p12k1,2924.993,1546.746
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p13k1,3359.428,2017.517
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p14k1,4188.688,2472.671
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p15k1,5080.289,3037.736
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p16k1,6001.712,3774.623
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p17k1,6851.548,4436.605
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p18k1,8005.177,5091.170
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p19k1,8754.063,6260.626
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p20k1,10198.902,7367.314
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p21k1,11730.776,8444.000
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p22k1,13196.992,9783.634
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p23k1,14613.558,11025.345
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p24k1,18048.260,12457.135
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p25k1,19145.939,14465.574
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p26k1,20868.821,16081.443
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p27k1,25270.532,18362.754
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p28k1,25586.329,19984.721
