ExeName,VersionID,Description,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_5_padding,5,padding,t05,27.566,18.387,6.178,3.001
hw4_5_padding,5,padding,t06,25.593,15.786,6.196,3.612
hw4_5_padding,5,padding,t07,28.523,16.712,6.182,5.629
hw4_5_padding,5,padding,t08,29.585,16.402,6.341,6.841
hw4_5_padding,5,padding,t09,33.551,16.488,6.154,10.909
hw4_5_padding,5,padding,t10,38.269,18.721,6.287,13.261
hw4_5_padding,5,padding,t11,912.031,665.725,215.301,31.005
hw4_5_padding,5,padding,t12,1146.931,789.138,298.653,59.140
hw4_5_padding,5,padding,t13,813.157,561.556,203.550,48.051
hw4_5_padding,5,padding,t14,515.232,342.623,127.754,44.855
hw4_5_padding,5,padding,t15,535.926,350.032,127.942,57.951
hw4_5_padding,5,padding,t16,429.987,260.925,101.514,67.547
hw4_5_padding,5,padding,t17,458.756,264.405,104.524,89.827
hw4_5_padding,5,padding,t18,382.976,201.932,81.287,99.757
hw4_5_padding,5,padding,t19,425.531,214.746,76.580,134.205
hw4_5_padding,5,padding,t20,325.293,140.480,53.984,130.829
hw4_5_padding,5,padding,t21,851.505,498.749,130.111,222.644
hw4_5_padding,5,padding,t22,1563.852,649.794,265.147,648.911
hw4_5_padding,5,padding,t23,381.241,150.659,52.255,178.328
hw4_5_padding,5,padding,t24,882.537,262.563,103.754,516.220
hw4_5_padding,5,padding,t25,334.161,85.041,33.010,216.109
hw4_5_padding,5,padding,t26,355.437,87.592,22.424,245.421
hw4_5_padding,5,padding,t27,367.819,55.790,22.059,289.970
hw4_5_padding,5,padding,t28,397.667,44.430,17.958,335.279
hw4_5_padding,5,padding,t29,562.685,59.774,18.101,484.810
hw4_5_padding,5,padding,t30,727.012,43.069,17.711,666.233
hw4_6_streaming,6,streaming,t01,20.793,18.683,1.959,0.151
hw4_6_streaming,6,streaming,t02,18.288,16.084,1.979,0.225
hw4_6_streaming,6,streaming,t03,26.228,24.045,1.912,0.271
hw4_6_streaming,6,streaming,t04,18.403,16.031,1.961,0.412
hw4_6_streaming,6,streaming,t05,26.614,23.957,2.148,0.510
hw4_6_streaming,6,streaming,t06,19.284,16.524,1.880,0.880
hw4_6_streaming,6,streaming,t07,31.461,28.424,2.066,0.971
hw4_6_streaming,6,streaming,t08,20.352,16.916,1.724,1.712
hw4_6_streaming,6,streaming,t09,27.674,23.979,1.784,1.912
hw4_6_streaming,6,streaming,t10,22.178,16.803,1.978,3.398
hw4_6_streaming,6,streaming,t11,964.302,918.689,41.815,3.798
hw4_6_streaming,6,streaming,t12,845.574,785.630,52.345,7.599
hw4_6_streaming,6,streaming,t13,745.707,700.529,39.050,6.128
hw4_6_streaming,6,streaming,t14,472.087,440.680,25.370,6.036
hw4_6_streaming,6,streaming,t15,392.228,359.894,24.956,7.378
hw4_6_streaming,6,streaming,t16,286.696,258.154,20.124,8.417
hw4_6_streaming,6,streaming,t17,370.477,338.054,20.518,11.905
hw4_6_streaming,6,streaming,t18,216.751,188.506,15.193,13.052
hw4_6_streaming,6,streaming,t19,228.820,196.377,15.155,17.287
hw4_6_streaming,6,streaming,t20,205.363,177.943,10.496,16.924
hw4_6_streaming,6,streaming,t21,372.823,319.805,24.949,28.069
hw4_6_streaming,6,streaming,t22,758.665,630.988,46.168,81.509
hw4_6_streaming,6,streaming,t23,175.226,142.983,10.254,21.988
hw4_6_streaming,6,streaming,t24,427.636,341.255,20.139,66.243
hw4_6_streaming,6,streaming,t25,110.101,78.298,6.075,25.728
hw4_6_streaming,6,streaming,t26,84.222,54.412,4.411,25.399
hw4_6_streaming,6,streaming,t27,119.653,79.424,4.467,35.762
hw4_6_streaming,6,streaming,t28,149.876,44.203,6.100,99.573
hw4_6_streaming,6,streaming,t29,186.481,44.704,6.023,135.754
hw4_6_streaming,6,streaming,t30,408.324,42.800,9.724,355.800
hw4_7_occupancy,7,occupancy,t01,20.602,18.614,1.866,0.122
hw4_7_occupancy,7,occupancy,t02,18.333,16.319,1.858,0.156
hw4_7_occupancy,7,occupancy,t03,32.248,29.993,2.027,0.228
hw4_7_occupancy,7,occupancy,t04,17.691,15.519,1.904,0.268
hw4_7_occupancy,7,occupancy,t05,27.078,24.749,1.917,0.413
hw4_7_occupancy,7,occupancy,t06,17.867,15.583,1.796,0.488
hw4_7_occupancy,7,occupancy,t07,19.081,16.594,1.796,0.691
hw4_7_occupancy,7,occupancy,t08,27.884,25.048,1.785,1.051
hw4_7_occupancy,7,occupancy,t09,19.205,16.195,1.704,1.307
hw4_7_occupancy,7,occupancy,t10,20.594,16.962,1.813,1.820
hw4_7_occupancy,7,occupancy,t11,876.010,831.573,41.073,3.365
hw4_7_occupancy,7,occupancy,t12,836.818,779.250,52.010,5.558
hw4_7_occupancy,7,occupancy,t13,580.464,535.760,39.146,5.558
hw4_7_occupancy,7,occupancy,t14,350.357,321.556,24.651,4.150
hw4_7_occupancy,7,occupancy,t15,453.986,420.650,26.309,7.028
hw4_7_occupancy,7,occupancy,t16,287.651,261.704,19.988,5.959
hw4_7_occupancy,7,occupancy,t17,286.724,256.588,19.793,10.343
hw4_7_occupancy,7,occupancy,t18,214.426,190.196,15.286,8.944
hw4_7_occupancy,7,occupancy,t19,227.635,196.783,15.269,15.583
hw4_7_occupancy,7,occupancy,t20,158.416,137.060,10.213,11.143
hw4_7_occupancy,7,occupancy,t21,362.514,311.858,24.959,25.697
hw4_7_occupancy,7,occupancy,t22,730.285,628.321,45.932,56.032
hw4_7_occupancy,7,occupancy,t23,211.278,177.829,10.660,22.789
hw4_7_occupancy,7,occupancy,t24,462.144,398.289,20.110,43.745
hw4_7_occupancy,7,occupancy,t25,137.417,109.486,6.102,21.830
hw4_7_occupancy,7,occupancy,t26,110.174,88.560,4.426,17.189
hw4_7_occupancy,7,occupancy,t27,90.069,56.022,4.509,29.537
hw4_7_occupancy,7,occupancy,t28,133.794,61.043,6.002,66.749
hw4_7_occupancy,7,occupancy,t29,168.111,44.206,6.085,117.820
hw4_7_occupancy,7,occupancy,t30,317.716,58.594,10.062,249.060
hw4_8_restrict,8,restrict,t01,38.973,36.935,1.902,0.136
hw4_8_restrict,8,restrict,t02,26.766,24.614,1.992,0.160
hw4_8_restrict,8,restrict,t03,20.129,17.904,1.998,0.227
hw4_8_restrict,8,restrict,t04,17.758,15.597,1.864,0.297
hw4_8_restrict,8,restrict,t05,20.218,17.920,1.922,0.377
hw4_8_restrict,8,restrict,t06,18.257,15.619,2.092,0.546
hw4_8_restrict,8,restrict,t07,20.248,17.665,1.875,0.709
hw4_8_restrict,8,restrict,t08,19.656,16.856,1.760,1.040
hw4_8_restrict,8,restrict,t09,19.584,16.324,1.907,1.353
hw4_8_restrict,8,restrict,t10,20.794,17.004,1.752,2.038
hw4_8_restrict,8,restrict,t11,652.501,609.868,38.788,3.845
hw4_8_restrict,8,restrict,t12,906.081,845.121,55.354,5.606
hw4_8_restrict,8,restrict,t13,625.782,583.048,37.105,5.629
hw4_8_restrict,8,restrict,t14,375.978,346.823,24.945,4.210
hw4_8_restrict,8,restrict,t15,385.556,353.950,24.920,6.687
hw4_8_restrict,8,restrict,t16,301.542,275.597,19.990,5.955
hw4_8_restrict,8,restrict,t17,279.486,248.341,20.575,10.570
hw4_8_restrict,8,restrict,t18,234.174,209.624,15.620,8.930
hw4_8_restrict,8,restrict,t19,290.796,259.104,15.880,15.812
hw4_8_restrict,8,restrict,t20,171.103,149.553,10.447,11.103
hw4_8_restrict,8,restrict,t21,401.657,351.368,24.972,25.316
hw4_8_restrict,8,restrict,t22,814.343,712.539,45.861,55.943
hw4_8_restrict,8,restrict,t23,165.635,134.805,10.553,20.276
hw4_8_restrict,8,restrict,t24,358.061,294.360,19.720,43.981
hw4_8_restrict,8,restrict,t25,121.734,94.632,6.044,21.059
hw4_8_restrict,8,restrict,t26,80.433,58.008,4.509,17.916
hw4_8_restrict,8,restrict,t27,94.312,61.610,4.404,28.297
hw4_8_restrict,8,restrict,t28,136.745,61.378,5.969,69.398
hw4_8_restrict,8,restrict,t29,171.824,50.835,6.123,114.866
hw4_8_restrict,8,restrict,t30,298.881,49.534,9.980,239.367
