Version,UnrollFactor,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_unroll_default,default,p37k1,61930.979,48274.623
hw3-2_unroll_default,default,p38k1,58080.262,48169.422
hw3-2_unroll_default,default,p39k1,65066.727,54897.573
hw3-2_unroll_default,default,p40k1,67148.244,55908.958
hw3-2_unroll_none,none,p11k1,2302.526,1194.300
hw3-2_unroll_none,none,p12k1,3014.743,1476.469
hw3-2_unroll_none,none,p13k1,3401.068,2008.928
hw3-2_unroll_none,none,p14k1,4178.654,2384.898
hw3-2_unroll_none,none,p15k1,5599.147,2989.212
hw3-2_unroll_none,none,p16k1,6071.416,3677.884
hw3-2_unroll_none,none,p17k1,6848.438,4410.207
hw3-2_unroll_none,none,p18k1,7957.488,4907.978
hw3-2_unroll_none,none,p19k1,8611.480,6211.195
hw3-2_unroll_none,none,p20k1,9907.112,7322.231
hw3-2_unroll_none,none,p21k1,11394.653,8392.268
hw3-2_unroll_none,none,p22k1,12843.839,9657.334
hw3-2_unroll_none,none,p23k1,14728.426,10702.324
hw3-2_unroll_none,none,p24k1,17763.441,12340.569
hw3-2_unroll_none,none,p25k1,19261.029,14445.947
hw3-2_unroll_none,none,p26k1,19945.976,15507.517
hw3-2_unroll_none,none,p27k1,24234.930,17654.220
hw3-2_unroll_none,none,p28k1,25161.624,19546.302
hw3-2_unroll_none,none,p29k1,36008.760,21959.236
hw3-2_unroll_none,none,p30k1,30810.168,24382.948
hw3-2_unroll_none,none,p31k1,34973.022,26981.860
hw3-2_unroll_none,none,p32k1,40264.457,30220.205
hw3-2_unroll_none,none,p33k1,50792.507,33642.987
hw3-2_unroll_none,none,p34k1,43835.592,34671.929
hw3-2_unroll_none,none,p35k1,55721.646,38821.988
hw3-2_unroll_none,none,p36k1,53707.505,40613.019
hw3-2_unroll_none,none,p37k1,67702.212,45493.885
hw3-2_unroll_none,none,p38k1,57981.551,48619.633
hw3-2_unroll_none,none,p39k1,77013.029,55556.297
hw3-2_unroll_none,none,p40k1,80879.009,61989.868
